gnerations , DifferentNumberOfGenome , averageFitness , varianceFitness , FirstQuartileFitness , medianFitness , thirdQuartileFitness, averageMatch , variance Match ,FirstQuartileMatch , medianMatch , thirdMatch , alive 
0,75,0,0,0,0,0,0,0,0,0,0,75
1,75,1.24,1.96907,0,1,2,2.85333,2.17849,2,3,4,75
2,75,1.10667,1.36862,0,0.5,2,2.58667,1.65582,2,3,3,75
3,75,0.915556,1.07287,0,0.333333,1.33333,2.30667,1.30596,1,2,3,75
4,75,0.826667,0.933289,0,0.5,1.25,2.14667,1.13849,1,2,3,75
5,75,0.744,0.719531,0,0.4,1.2,2.13333,1.15556,1,2,3,75
6,75,0.688889,0.683951,0,0.5,1,2.04,1.05173,1,2,3,75
7,75,0.620952,0.553738,0,0.428571,0.857143,1.96,0.945067,1,2,3,75
8,75,0.575,0.490833,0.125,0.375,0.875,1.90667,0.857956,1,2,3,75
9,75,0.546667,0.471691,0.111111,0.333333,0.777778,1.74667,0.775822,1,2,2,75
10,75,0.512,0.425056,0.1,0.3,0.7,1.76,0.795733,1,2,2,75
11,75,0.493333,0.433757,0.0909091,0.272727,0.636364,1.77333,0.708622,1,2,2,75
12,75,0.47,0.412156,0.0833333,0.25,0.583333,1.73333,0.702222,1,2,2,75
13,75,0.450256,0.389064,0.0769231,0.230769,0.538462,1.69333,0.639289,1,2,2,75
14,75,0.429524,0.37204,0.0714286,0.214286,0.5,1.66667,0.622222,1,2,2,75
15,75,0.414222,0.357487,0.0666667,0.2,0.466667,1.62667,0.580622,1,2,2,75
16,75,0.4025,0.346067,0.0625,0.25,0.4375,1.6,0.586667,1,2,2,75
17,75,0.388235,0.315202,0.0588235,0.176471,0.411765,1.58667,0.562489,1,2,2,75
18,75,0.376296,0.300788,0.0555556,0.222222,0.388889,1.53333,0.568889,1,2,2,75
19,75,0.366316,0.294474,0.0526316,0.210526,0.368421,1.53333,0.568889,1,2,2,75
20,56,0.355333,0.286238,0.05,0.2,0.35,1.53333,0.568889,1,2,2,69
21,41,0.36381,0.260114,0.047619,0.190476,0.380952,1.62667,0.607289,1,2,2,68
22,28,0.379394,0.240743,0.136364,0.181818,0.363636,1.62667,0.607289,1,2,2,67
23,21,0.4,0.224171,0.130435,0.26087,0.434783,1.69333,0.612622,1,2,2,67
24,19,0.422222,0.22733,0.166667,0.291667,0.416667,1.68,0.5376,1,2,2,59
25,17,0.4368,0.208118,0.16,0.32,0.44,1.70667,0.527289,1,2,2,58
26,15,0.44359,0.207863,0.153846,0.346154,0.461538,1.70667,0.527289,1,2,2,52
27,13,0.448395,0.197515,0.185185,0.333333,0.481481,1.72,0.5216,1,2,2,50
28,11,0.45619,0.191924,0.214286,0.357143,0.535714,1.70667,0.500622,1,2,2,42
29,11,0.457471,0.182111,0.206897,0.344828,0.517241,1.66667,0.515556,1,2,2,31
30,16,0.447556,0.170346,0.233333,0.333333,0.5,1.6,0.506667,1,2,2,32
31,15,0.43914,0.163521,0.193548,0.322581,0.516129,1.58667,0.509156,1,2,2,22
32,15,0.42875,0.154207,0.21875,0.3125,0.53125,1.58667,0.509156,1,2,2,17
33,15,0.419394,0.145137,0.212121,0.30303,0.484848,1.53333,0.515556,1,2,2,16
34,21,0.40902,0.136844,0.205882,0.323529,0.5,1.49333,0.463289,1,2,2,21
35,20,0.400762,0.132135,0.2,0.314286,0.485714,1.48,0.436267,1,2,2,12
36,25,0.391111,0.125942,0.194444,0.305556,0.5,1.42667,0.377956,1,1,2,16
37,26,0.382703,0.11855,0.189189,0.297297,0.486486,1.41333,0.375822,1,1,2,9
38,31,0.374737,0.112315,0.184211,0.289474,0.473684,1.37333,0.367289,1,1,2,15
39,36,0.369915,0.106863,0.179487,0.282051,0.461538,1.33333,0.355556,1,1,2,19
40,35,0.365333,0.102098,0.175,0.275,0.45,1.32,0.350933,1,1,2,18
41,33,0.358699,0.0968594,0.170732,0.268293,0.439024,1.29333,0.340622,1,1,2,23
42,32,0.354921,0.0955431,0.166667,0.285714,0.428571,1.29333,0.340622,1,1,2,18
43,27,0.350388,0.0920762,0.186047,0.27907,0.44186,1.26667,0.328889,1,1,2,10
44,26,0.343333,0.088355,0.181818,0.272727,0.431818,1.22667,0.308622,1,1,2,13
45,30,0.33837,0.0847615,0.177778,0.266667,0.422222,1.22667,0.335289,1,1,2,20
46,27,0.334203,0.0811692,0.152174,0.26087,0.413043,1.18667,0.311822,1,1,2,13
47,35,0.329645,0.0773125,0.170213,0.255319,0.404255,1.16,0.321067,1,1,1,19
48,30,0.325833,0.0747181,0.166667,0.25,0.395833,1.14667,0.338489,1,1,1,12
49,34,0.322449,0.0725698,0.163265,0.244898,0.387755,1.10667,0.308622,1,1,1,14
50,38,0.318933,0.0696735,0.16,0.24,0.38,1.08,0.286933,1,1,1,12
51,37,0.313464,0.0668614,0.156863,0.235294,0.372549,1.05333,0.290489,1,1,1,11
52,41,0.309231,0.0642383,0.153846,0.25,0.365385,1.02667,0.265956,1,1,1,13
53,46,0.306918,0.0624121,0.169811,0.245283,0.358491,1.01333,0.279822,1,1,1,13
54,34,0.303951,0.0602203,0.166667,0.240741,0.351852,1.01333,0.279822,1,1,1,5
55,37,0.298424,0.0580504,0.163636,0.236364,0.345455,0.96,0.2784,1,1,1,5
56,43,0.293095,0.0559957,0.160714,0.232143,0.339286,0.906667,0.217956,1,1,1,11
57,39,0.289591,0.05506,0.157895,0.22807,0.333333,0.866667,0.195556,1,1,1,10
58,42,0.287126,0.0529885,0.172414,0.224138,0.362069,0.826667,0.169956,1,1,1,16
59,34,0.287232,0.0501534,0.169492,0.237288,0.322034,0.84,0.161067,1,1,1,13
60,37,0.285111,0.0490857,0.166667,0.233333,0.333333,0.84,0.161067,1,1,1,15
61,37,0.281967,0.0479083,0.163934,0.229508,0.344262,0.826667,0.169956,1,1,1,19
62,41,0.28043,0.0465411,0.16129,0.225806,0.33871,0.813333,0.178489,1,1,1,20
63,43,0.28,0.0452012,0.15873,0.238095,0.349206,0.8,0.186667,1,1,1,22
64,41,0.28,0.0458708,0.15625,0.234375,0.34375,0.773333,0.201956,0,1,1,26
65,36,0.278359,0.0447758,0.153846,0.230769,0.338462,0.786667,0.221156,1,1,1,15
