generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome 
1 ; 75;0.222083;0.0302233;0.09375;0.15625;0.28125;1.65;0.326016;1.21875;1.65625;2;75;1;0;1;1;1;1;1
2 ; 75;0.225455;0.0301253;0.0909091;0.151515;0.272727;1.65576;0.303095;1.24242;1.63636;2.06061;75;1;0;1;1;1;1;1
3 ; 75;0.232157;0.0295634;0.117647;0.205882;0.294118;1.66627;0.290277;1.26471;1.67647;2.02941;75;1;0;1;1;1;1;1
4 ; 75;0.23619;0.0293732;0.114286;0.2;0.314286;1.66781;0.276762;1.28571;1.65714;2.05714;75;1;0;1;1;1;1;1
5 ; 75;0.235926;0.0289377;0.111111;0.194444;0.333333;1.66963;0.266576;1.27778;1.66667;2.05556;75;1;0;1;1;1;1;1
6 ; 75;0.236396;0.0281099;0.108108;0.189189;0.324324;1.68072;0.256434;1.2973;1.67568;2.05405;75;1;0;1;1;1;1;1
7 ; 75;0.236491;0.0274883;0.105263;0.184211;0.315789;1.67895;0.248753;1.31579;1.65789;2.07895;75;1;0;1;1;1;1;1
8 ; 75;0.235556;0.0268541;0.102564;0.205128;0.307692;1.67556;0.238483;1.30769;1.66667;2.07692;75;1;0;1;1;1;1;1
9 ; 75;0.231667;0.0260889;0.1;0.175;0.3;1.67167;0.228839;1.3;1.65;2.075;75;1;0;1;1;1;1;1
10 ; 75;0.226992;0.0248737;0.097561;0.170732;0.292683;1.66699;0.22343;1.29268;1.63415;2.07317;75;1;0;1;1;1;1;1
11 ; 75;0.22381;0.0251398;0.0952381;0.166667;0.285714;1.66032;0.21739;1.28571;1.64286;2.07143;75;1;0;1;1;1;1;1
12 ; 75;0.220155;0.0244937;0.0930233;0.186047;0.302326;1.65488;0.214949;1.27907;1.65116;2.06977;75;1;0;1;1;1;1;1
13 ; 75;0.21697;0.0235164;0.0909091;0.181818;0.295455;1.65121;0.212459;1.31818;1.63636;2.04545;75;1;0;1;1;1;1;1
14 ; 75;0.214519;0.0231571;0.0888889;0.177778;0.288889;1.64504;0.210633;1.31111;1.62222;2.02222;75;1;0;1;1;1;1;1
15 ; 75;0.211594;0.0228775;0.0869565;0.173913;0.282609;1.64174;0.211448;1.28261;1.65217;1.97826;75;1;0;1;1;1;1;1
16 ; 75;0.208227;0.0222157;0.0851064;0.170213;0.276596;1.63489;0.212368;1.2766;1.65957;1.93617;75;1;0;1;1;1;1;1
17 ; 75;0.204444;0.02164;0.0833333;0.166667;0.270833;1.62861;0.214576;1.29167;1.625;1.91667;75;1;0;1;1;1;1;1
