generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
0 ; 75;0;0;0;0;0;0;0;0;0;0;75;1;0;1;1;1;1;1;0;0;0;0;0
1 ; 75;0;0;0;0;0;2.62667;2.50062;1;2;3;75;1;0;1;1;1;1;1;927.204;113263;701.738;896.201;1157.83
2 ; 75;463.602;28315.6;350.869;448.101;578.913;2.24;1.9024;1;2;3;75;1;0;1;1;1;1;1;32.9577;3016.59;0;2.99625;39.6675
3 ; 75;320.054;12520;239.57;306.701;396.017;2.08;1.87804;1;1.66667;2.66667;75;1;0;1;1;1;1;1;15.0424;895.524;0;0;15.5997
4 ; 75;243.801;7510.65;179.677;230.025;309.508;1.95667;1.71229;1;1.75;2.5;75;1;0;1;1;1;1;1;17.6256;2609.26;0;0;10.8479
5 ; 75;198.566;5101.32;143.742;196.72;256.85;1.88267;1.5521;1;1.6;2.4;75;1;0;1;1;1;1;1;26.3898;9538.49;0;0;8.32142
6 ; 75;169.87;3922.17;119.785;185.034;216.698;1.81111;1.4121;1;1.5;2.33333;75;1;0;1;1;1;1;1;13.6137;2155.77;0;0;1
7 ; 75;147.548;3105.98;102.673;158.601;189.919;1.74857;1.24454;1;1.42857;2.28571;75;1;0;1;1;1;1;1;12.4421;2000.04;0;0;0.737687
8 ; 75;130.659;2550.69;90.1952;138.775;169.247;1.70167;1.15871;1;1.375;2.25;75;1;0;1;1;1;1;1;7.94876;811.057;0;0;0.196352
9 ; 75;117.025;2103.86;80.199;123.356;151.508;1.66667;1.11342;1;1.33333;2.22222;75;1;0;1;1;1;1;1;7.87799;832.002;0;0;0.0245814
10 ; 75;106.11;1795.78;72.2186;111.02;137.78;1.644;1.0862;1;1.3;2.2;75;1;0;1;1;1;1;1;12.7633;1448.85;0;0;0.290576
11 ; 75;97.6241;1618.18;66.042;102.171;125.626;1.62788;1.08059;1;1.27273;2.18182;75;1;0;1;1;1;1;1;12.0548;1397.96;0;0;0.309
12 ; 75;90.4933;1494.89;60.9635;93.6564;115.157;1.60444;1.05983;1;1.25;2.16667;75;1;0;1;1;1;1;1;7.16307;446.233;0;0;0.45836
