generations ; different number of genome ; average fitness ; variance Fitness ; first quartile Fitness ; median fitness ; third quartile fitness, average match ; variance match ;first quartile match ; median Match ; third quartile match ; agent alive; average genome's age; variance genome's age; first quartile genome's age; median genome's age ; third quartile genome's age ; yougest genome ;oldest genome ; average distance ; variance distance ; first quartiel distance ; sencond quartile distance ; third quartile distance
0 ; 400;0;0;0;0;0;0;0;0;0;0;400;1;0;1;1;1;1;1;0;0;0;0;0
1 ; 400;388.721;4.19296e+07;-3544.44;-0.755;4331.37;10.8725;22.8012;7;10;14;400;1;0;1;1;1;1;1;0.362962;54.0119;-4.095;0.1155;4.38287
2 ; 400;350.99;4.4365e+07;-3999.61;-47.8435;4463.67;9.35625;19.3375;6;8.5;12;400;1;0;1;1;1;1;1;0.630676;56.262;-4.095;0.2135;5.25984
3 ; 400;348.807;4.65487e+07;-4012.38;1.04555;4425.03;8.66583;18.0736;5.33333;8;11.3333;400;1;0;1;1;1;1;1;0.185321;59.0721;-4.6515;0.378;4.557
4 ; 400;309.616;4.85649e+07;-4080.67;65.4505;4593.92;8.17875;16.9384;5;7.5;10.5;400;1;0;1;1;1;1;1;0.0576357;68.1145;-5.12116;-0.154656;5.11831
5 ; 400;312.158;5.01517e+07;-4429.87;85.4063;4423.73;7.7565;15.9484;4.8;7.2;9.8;400;1;0;1;1;1;1;1;0.36936;68.665;-4.431;-0.0328125;4.739
6 ; 400;318.646;5.1081e+07;-4559.91;80.8313;4444.11;7.45958;15.3194;4.5;6.83333;9.5;400;1;0;1;1;1;1;1;0.289874;68.6216;-5.138;0.0225312;5.04
7 ; 400;333.904;5.19215e+07;-4487.92;55.3155;4665.29;7.17714;14.6998;4.28571;6.42857;9.14286;400;1;0;1;1;1;1;1;0.171195;67.8121;-4.98159;0.007;4.90131
8 ; 400;337.02;5.28875e+07;-4507.19;31.5928;4768.36;6.89438;13.597;4;6.25;8.875;400;1;0;1;1;1;1;1;0.579099;74.4609;-5.138;0.357219;5.28981
9 ; 400;364.096;5.36942e+07;-4698.06;26.2547;4755.3;6.63972;12.6684;3.88889;6;8.44444;400;1;0;1;1;1;1;1;0.706397;71.2823;-4.49553;0.231;5.943
